2016-05-05 23:21:26,701 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2016-05-05 23:21:26,718 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:26,728 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [8] milliseconds
2016-05-05 23:21:26,755 |main                 |EntitySaxReader               |I| Finished 10 values from file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/content/data/BlogSeedData.xml
2016-05-05 23:21:26,756 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/content/data/TemplateData.xml
2016-05-05 23:21:26,756 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2016-05-05 23:21:26,788 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:26,799 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [10] milliseconds
2016-05-05 23:21:26,801 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:26,810 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [9] milliseconds
2016-05-05 23:21:26,812 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:26,823 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [11] milliseconds
2016-05-05 23:21:26,825 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:26,837 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [12] milliseconds
2016-05-05 23:21:26,840 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:26,854 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [13] milliseconds
2016-05-05 23:21:26,855 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:26,872 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [16] milliseconds
2016-05-05 23:21:26,875 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:26,890 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [15] milliseconds
2016-05-05 23:21:26,892 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:26,906 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [13] milliseconds
2016-05-05 23:21:26,908 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:26,921 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [12] milliseconds
2016-05-05 23:21:26,923 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:26,933 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [10] milliseconds
2016-05-05 23:21:26,935 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:26,948 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [12] milliseconds
2016-05-05 23:21:26,952 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:26,980 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [26] milliseconds
2016-05-05 23:21:26,984 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:27,023 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [38] milliseconds
2016-05-05 23:21:27,047 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: clearAssociatedRenderCache, triggered by rule on Entity: ElectronicText
2016-05-05 23:21:27,370 |main                 |FreeMarkerWorker              |I| loading properties: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/framework/webapp/config/freemarkerTransforms.properties
2016-05-05 23:21:27,402 |main                 |FreeMarkerWorker              |I| loading properties: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/framework/widget/config/freemarkerTransforms.properties
2016-05-05 23:21:27,406 |main                 |FreeMarkerWorker              |I| loading properties: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/content/config/freemarkerTransforms.properties
2016-05-05 23:21:27,465 |main                 |FreeMarkerWorker              |I| loading properties: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/product/config/freemarkerTransforms.properties
2016-05-05 23:21:27,495 |main                 |ServiceDispatcher             |T| Sync service [entity-default/clearAssociatedRenderCache] finished in [447] milliseconds
2016-05-05 23:21:27,527 |main                 |EntitySaxReader               |I| Finished 52 values from file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/content/data/TemplateData.xml
2016-05-05 23:21:27,528 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/content/data/ContentSecurityPermissionSeedData.xml
2016-05-05 23:21:27,528 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2016-05-05 23:21:27,555 |main                 |EntitySaxReader               |I| Finished 12 values from file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/content/data/ContentSecurityPermissionSeedData.xml
2016-05-05 23:21:27,555 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/content/data/MiscData.xml
2016-05-05 23:21:27,556 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2016-05-05 23:21:27,561 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:27,577 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [15] milliseconds
2016-05-05 23:21:27,583 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:27,602 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [19] milliseconds
2016-05-05 23:21:27,607 |main                 |EntitySaxReader               |I| Finished 4 values from file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/content/data/MiscData.xml
2016-05-05 23:21:27,607 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/home/steven/repository/socialmanagement/docker/playground/ofbiz/apache-ofbiz-13.07.03/applications/content/data/ContentHelpData.xml
2016-05-05 23:21:27,608 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2016-05-05 23:21:27,614 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:27,621 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [7] milliseconds
2016-05-05 23:21:27,623 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:27,630 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [6] milliseconds
2016-05-05 23:21:27,633 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:27,641 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [7] milliseconds
2016-05-05 23:21:27,645 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:27,657 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [12] milliseconds
2016-05-05 23:21:27,666 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2016-05-05 23:21:27,715 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [49] milliseconds
2016-05-05 23:21:27,732 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
